frame_id,timestamp_sec,landmark_type,landmark_id,x,y,z,visibility
65,5.0520000000,left_hand,0,0.6376999021,0.6487573981,0.0000002137,1.0000000000
66,5.1290000000,left_hand,0,0.6359830499,0.6521270275,0.0000002318,1.0000000000
67,5.2070000000,left_hand,0,0.6383043528,0.6551367044,0.0000002122,1.0000000000
68,5.2850000000,left_hand,0,0.6346411705,0.6443059444,0.0000002152,1.0000000000
69,5.3630000000,left_hand,0,0.6321237683,0.6360425949,0.0000002202,1.0000000000
70,5.4400000000,left_hand,0,0.6325579882,0.6365078092,0.0000001869,1.0000000000
71,5.5180000000,left_hand,0,0.6379262805,0.6546394229,0.0000002079,1.0000000000
72,5.5960000000,left_hand,0,0.6513598561,0.6667885780,0.0000002143,1.0000000000
73,5.6740000000,left_hand,0,0.6522115469,0.6712906361,0.0000001747,1.0000000000
74,5.7510000000,left_hand,0,0.6501973271,0.6641632915,0.0000002188,1.0000000000
75,5.8290000000,left_hand,0,0.6462873220,0.6521670818,0.0000002029,1.0000000000
76,5.9070000000,left_hand,0,0.6503841877,0.6623777747,0.0000001975,1.0000000000
77,5.9840000000,left_hand,0,0.6496810317,0.6576914787,0.0000000931,1.0000000000
78,6.0620000000,left_hand,0,0.3247338533,0.6287546754,0.0000002099,1.0000000000
79,6.1400000000,left_hand,0,0.3222111464,0.6211119294,0.0000002183,1.0000000000
80,6.2180000000,left_hand,0,0.6411225796,0.6489498019,0.0000000679,1.0000000000
81,6.2950000000,left_hand,0,0.6409312487,0.6582625508,0.0000000435,1.0000000000
82,6.3730000000,left_hand,0,0.6375357509,0.6596086621,-0.0000000323,1.0000000000
83,6.4510000000,left_hand,0,0.3186805248,0.6147353649,0.0000002140,1.0000000000
84,6.5280000000,left_hand,0,0.6360967755,0.6603313088,-0.0000000020,1.0000000000
85,6.6060000000,left_hand,0,0.6383092999,0.6608827114,0.0000001114,1.0000000000
86,6.6840000000,left_hand,0,0.6366913915,0.6614006758,0.0000000273,1.0000000000
87,6.7620000000,left_hand,0,0.6411819458,0.6581915021,0.0000001343,1.0000000000
88,6.8390000000,left_hand,0,0.6432645917,0.6629429460,-0.0000000466,1.0000000000
89,6.9170000000,left_hand,0,0.3185449541,0.6141997576,0.0000002274,1.0000000000
90,6.9950000000,left_hand,0,0.6509317160,0.6658703089,0.0000000741,1.0000000000
91,7.0720000000,left_hand,0,0.6445826888,0.6720970869,0.0000000074,1.0000000000
92,7.1500000000,left_hand,0,0.3190819621,0.6150403023,0.0000002329,1.0000000000
93,7.2280000000,left_hand,0,0.6398974061,0.6687492728,0.0000000247,1.0000000000
94,7.3060000000,left_hand,0,0.6395356059,0.6678204536,0.0000000523,1.0000000000
95,7.3830000000,left_hand,0,0.6439468265,0.6720145941,-0.0000000239,1.0000000000
96,7.4610000000,left_hand,0,0.6461185813,0.6654376388,-0.0000000671,1.0000000000
97,7.5390000000,left_hand,0,0.6472738385,0.6667037606,0.0000000190,1.0000000000
98,7.6170000000,left_hand,0,0.6445606351,0.6696157455,-0.0000000030,1.0000000000
99,7.6940000000,left_hand,0,0.6478449106,0.6652964950,0.0000000306,1.0000000000
100,7.7720000000,left_hand,0,0.6454455853,0.6693670154,0.0000000917,1.0000000000
101,7.8500000000,left_hand,0,0.3209700584,0.6146723032,0.0000002285,1.0000000000
102,7.9270000000,left_hand,0,0.6485140324,0.6664859653,0.0000000926,1.0000000000
103,8.0050000000,left_hand,0,0.6512127519,0.6674990058,0.0000000773,1.0000000000
104,8.0830000000,left_hand,0,0.6456791759,0.6723194122,0.0000000807,1.0000000000
105,8.1610000000,left_hand,0,0.6444844604,0.6732524633,0.0000001331,1.0000000000
106,8.2380000000,left_hand,0,0.6478145123,0.6641681790,0.0000001386,1.0000000000
107,8.3160000000,left_hand,0,0.6502780318,0.6696583033,0.0000001858,1.0000000000
108,8.3940000000,left_hand,0,0.6478736997,0.6650220156,0.0000001863,1.0000000000
109,8.4710000000,left_hand,0,0.6481308937,0.6645954847,0.0000000825,1.0000000000
110,8.5490000000,left_hand,0,0.6472269893,0.6702362895,0.0000001236,1.0000000000
111,8.6270000000,left_hand,0,0.6478813887,0.6641891599,0.0000000943,1.0000000000
112,8.7050000000,left_hand,0,0.6464573741,0.6623699665,0.0000001398,1.0000000000
113,8.7820000000,left_hand,0,0.6413998008,0.6606780291,0.0000001498,1.0000000000
114,8.8600000000,left_hand,0,0.6432669759,0.6629805565,0.0000001642,1.0000000000
115,8.9380000000,left_hand,0,0.6390044689,0.6583562493,-0.0000000570,1.0000000000
116,9.0150000000,left_hand,0,0.6439466476,0.6573373675,0.0000000532,1.0000000000
117,9.0930000000,left_hand,0,0.6435888410,0.6565802693,0.0000000333,1.0000000000
118,9.1710000000,left_hand,0,0.6435124278,0.6621955037,0.0000001129,1.0000000000
